Approximately	O
80	O
%	O
of	O
MPs	B-RESOURCE
originate	O
from	O
terrestrial	B-QUALITY
sources	I-QUALITY
,	O
which	O
can	O
be	O
classified	O
as	O
either	O
primary	B-QUALITY
sources	I-QUALITY
,	O
such	O
as	O
those	O
generated	O
during	O
the	O
production	B-PROCESS
of	O
skincare	B-RESOURCE
products	I-RESOURCE
,	O
tires	B-RESOURCE
,	O
and	O
the	O
use	O
of	O
MPs	B-RESOURCE
as	O
carriers	O
for	O
pharmaceutical	B-RESOURCE
products	I-RESOURCE
,	O
or	O
secondary	B-QUALITY
sources	I-QUALITY
resulting	O
from	O
the	O
improper	O
disposal	B-QUALITY
of	O
plastics	B-RESOURCE
near	O
coastal	B-LOCATION
areas	I-LOCATION
and	O
water	B-RESOURCE
bodies	I-RESOURCE
.	O
