After	O
reviewing	O
all	O
published	O
data	O
sources	O
,	O
we	O
report	O
that	O
the	O
density	B-QUALITY
of	O
bearded	B-ACTOR
seals	I-ACTOR
in	O
Canada	B-LOCATION
were	O
highest	O
(	O
and	O
highly	O
variable	O
)	O
in	O
the	O
Beaufort	B-LOCATION
Sea	I-LOCATION
(	O
0	O
.	O
018	O
.	O
68	O
seals	B-ACTOR
*	O
km2	O
)	O
,	O
then	O
in	O
Baffin	B-LOCATION
Bay	I-LOCATION
-	I-LOCATION
Davis	I-LOCATION
Strait	I-LOCATION
(	O
0	O
.	O
0048	O
.	O
3	O
seals	B-ACTOR
*	O
km2	O
)	O
,	O
and	O
lowest	O
and	O
less	O
variable	O
inter	O
-	O
annually	O
in	O
the	O
Hudson	B-LOCATION
Complex	I-LOCATION
(	O
0	O
.	O
02	O
to	O
0	O
.	O
12	O
seals	B-ACTOR
*	O
km2	O
)	O
at	O
the	O
time	O
of	O
these	O
surveys	O
.	O
