The	O
evaluation	O
system	O
of	O
TD	O
and	O
resource	B-QUALITY
environment	I-QUALITY
carrying	I-QUALITY
capacity	I-QUALITY
(	I-QUALITY
RECC	I-QUALITY
)	I-QUALITY
is	O
constructed	O
in	O
this	O
paper	O
,	O
the	O
situation	O
of	O
TD	B-PROCESS
,	O
RECC	B-QUALITY
,	O
and	O
coupling	B-QUALITY
coordination	I-QUALITY
degree	I-QUALITY
(	I-QUALITY
CCD	I-QUALITY
)	I-QUALITY
in	O
the	O
Yangtze	B-LOCATION
River	I-LOCATION
Economic	I-LOCATION
Belt	I-LOCATION
(	I-LOCATION
YREB	I-LOCATION
)	I-LOCATION
is	O
analyzed	O
based	O
on	O
the	O
CCD	B-QUALITY
model	O
and	O
dynamic	O
DM	O
model	O
.	O
