Hence	O
,	O
the	O
latest	O
technology	B-RESOURCE
like	O
sensor	B-RESOURCE
network	I-RESOURCE
will	O
be	O
used	O
to	O
determine	O
the	O
accurate	O
level	O
of	O
flooding	B-PROCESS
and	O
also	O
the	O
mobile	B-RESOURCE
phone	I-RESOURCE
connected	O
with	O
this	O
technology	B-RESOURCE
will	O
send	O
the	O
forecasting	B-RESOURCE
information	I-RESOURCE
to	O
the	O
affected	B-QUALITY
people	I-QUALITY
in	O
order	O
to	O
prevent	O
the	O
unnecessary	O
loss	B-QUALITY
caused	O
by	O
this	O
natural	B-PROCESS
hazard	I-PROCESS
.	O
